r1,r2,r3,r4
node,channel_alteration,human_activity,start
node,water_withdrawals,human_activity,start
node,aquaculture_and_hatcheries,human_activity,start
node,agriculture,human_activity,start
node,urbanization,human_activity,start
node,industry,human_activity,start
node,buried_and_piped_streams,source,
node,channelized_and_armored_streams,source,
node,impoundments,source,
node,CAFOs,source,
node,livestock_pastures,source,
node,cropfields,source,
node,golf_courses,source,
node,lawns,source,
node,impervious_surfaces,source,
node,sewer_lines,source,
node,septic_systems,source,
node,residential_municipal_and_commercial_facilities,source,
node,CSOs,source,
node,wastewater_treatment_plants,source,
node,vehicles,source,
node,food_processing_plants,source,
node,pharmaceutical_plants,source,
node,coal_fired_power_plants,source,
node,other_industrial_facilities,source,
node,applied_fertilizers,source,
node,landfills,source,
node,animal_wastes,source,
node,atmospheric_emissions_transport_and_deposition,source,
node,direct_effluent_discharges,source,
node,stormwater_runoff,source,
node,leakage_leachate_and_groundwater_transport,source,
node,decreased_riparian_and_watershed_vegetation,additional_step_in_causal_pathway,
node,increased_crowding_of_stream_biota,additional_step_in_causal_pathway,
node,decreased_channel_complexity,additional_step_in_causal_pathway,
node,decreased_ammonia_volatilization,additional_step_in_causal_pathway,
node,decreased_turbulence,additional_step_in_causal_pathway,
node,decreased_nitrogen_uptake,additional_step_in_causal_pathway,
node,increased_ammonia_inputs,additional_step_in_causal_pathway,
node,increased_ammonia_in_water,proximate_stressor,
node,increased_ammonia_in_sediment,proximate_stressor,
node,increased_ionized_ammonia,proximate_stressor,
node,increased_unionized_ammonia,proximate_stressor,
node,increased_ammonia_fluctuation,proximate_stressor,
node,nitrogen_cycle,modifying_factor,
node,decreased_discharge_and_water_velocity,interacting_stressor,
node,decreased_woody_debris,interacting_stressor,
node,increased_nutrients,interacting_stressor,
node,decreased_dissolved_oxygen,interacting_stressor,
node,change_in_pH,interacting_stressor,
node,increased_ionic_strength,interacting_stressor,
node,increased_temperature,interacting_stressor,
node,increased_other_stressors,interacting_stressor,
node,increased_BOD,mode_of_action,
node,increased_tolerance,mode_of_action,
node,increased_toxicity,mode_of_action,
node,decreased_N_excretion,mode_of_action,
node,increased_diffusion_across_gill_membrane,mode_of_action,
node,increased_ammonia_in_organism,mode_of_action,
