r1,r2,r3
node,agriculture,human_activity
node,urbanization,human_activity
node,industry,human_activity
node,mining_and_resource_extraction,human_activity
node,forestry_and_silviculture,human_activity
node,geology_and_lithology,source
node,other_non_point_sources,source
node,historical_sources,source
node,animal_wastes,source
node,mining_wastes,source
node,septic_systems,source
node,landfills,source
node,applied_fertilizers,source
node,vehicle_emissions,source
node,industrial_emissions,source
node,WWTP_effluent,source
node,industrial_effluent,source
node,stormwater_drainage,source
node,other_point_sources,source
node,watershed_and_riparian devegetation,source
node,channel_alteration,human_activity
node,downstream_impoundment,source
node,increased_channel_incision,additional_step_in_causal_pathway
node,decreased_permeability,additional_step_in_causal_pathway
node,increased_surface_runoff,additional_step_in_causal_pathway
node,increased_erosion,additional_step_in_causal_pathway
node,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,additional_step_in_causal_pathway
node,upstream_impoundment,source
node,impoundment_size_and_type_of_release,modifying_factor
node,increased_water_depth,additional_step_in_causal_pathway
node,decreased_large_woody_debris,additional_step_in_causal_pathway
node,decreased_water_velocity__additional_step_in_causal_pathway,additional_step_in_causal_pathway
node,decreased_turbulence,additional_step_in_causal_pathway
node,increased_substrate_homogenization,additional_step_in_causal_pathway
node,increased_chemical_contaminants,additional_step_in_causal_pathway
node,increased_organic_loading,additional_step_in_causal_pathway
node,increased_nutrients,interacting_stressor
node,decreased_surface_area_to_volume_ratio,additional_step_in_causal_pathway
node,decreased_diffusion,additional_step_in_causal_pathway
node,altered_flow,interacting_stressor
node,sediment,interacting_stressor
node,increased_primary_producers,additional_step_in_causal_pathway
node,increased_turbulence,additional_step_in_causal_pathway
node,increased_detritus_and_exudates,additional_step_in_causal_pathway
node,increased_aeration,additional_step_in_causal_pathway
node,decreased_aeration,additional_step_in_causal_pathway
node,increased_microbes,additional_step_in_causal_pathway
node,increased_organic_matter_retention,additional_step_in_causal_pathway
node,increased_photosynthesis,additional_step_in_causal_pathway
node,increased_heterotrophic_respiration,additional_step_in_causal_pathway
node,increased_autotrophic_respiration,additional_step_in_causal_pathway
node,increased_oxygen_production,additional_step_in_causal_pathway
node,increased_chemical_oxygen_demand,additional_step_in_causal_pathway
node,increased_biochemical_oxygen_demand,additional_step_in_causal_pathway
node,decreased_oxygen_in_discharged_waters,additional_step_in_causal_pathway
node,increased_temperature,interacting_stressor
node,increased_ionic_strength,interacting_stressor
node,increased_sediment,interacting_stressor
node,decreased_oxygen_solubility,mode_of_action
node,decreased_interstitial_flow,mode_of_action
node,decreased_dissolved_oxygen__water_or_sediment,proximate_stressor
node,increased_DO_fluctuation__water_or_sediment,proximate_stressor
node,increased_dissolved_oxygen__water_or_sediment,proximate_stressor
node,altered_flow,interacting_stressor
node,decreased_water_velocity__mode_of_action,mode_of_action
node,decreased_oxygen_delivery,mode_of_action
node,increased_respiratory_stress,mode_of_action
node,increased_reduction__decreased_Eh,mode_of_action
node,change_in_behavior,response
node,increased_oxygen_supersaturation,mode_of_action
node,increased_oxidation__increased_Eh,mode_of_action
node,increased_phosphate_solubility,mode_of_action
node,increased_ventilatory_movements,response
node,increased_gasping_at_water_surface,response
node,change_in_other_behaviors,response
node,increased_metal_solubility,mode_of_action
node,increased_phosphorus,interacting_stressor
node,increased_mortality,response
node,increased_gas_bubble_trauma,mode_of_action
node,increased_metals,interacting_stressor
node,change_in_population_and_community_structure,response
node,change_in_ecosystem_processes,response
node,increased_fish_kills,response
node,decreased_sensitive_life_stages,response
node,decreased_sensitive_taxa,response
node,increased_tolerant_taxa,response
node,increased_tolerant_life_stages,response
node,change_in_other_characteristics,response
node,fire_smoke_and_ash,source
edge,agriculture,downstream_impoundment
edge,agriculture,channel_alteration
edge,agriculture,watershed_and_riparian devegetation
edge,agriculture,other_non_point_sources
edge,agriculture,historical_sources
edge,agriculture,fire_smoke_and_ash
edge,agriculture,animal_wastes
edge,agriculture,mining_wastes
edge,agriculture,septic_systems
edge,agriculture,landfills
edge,agriculture,applied_fertilizers
edge,agriculture,vehicle_emissions
edge,agriculture,industrial_emissions
edge,agriculture,WWTP_effluent
edge,agriculture,industrial_effluent
edge,agriculture,stormwater_drainage
edge,agriculture,other_point_sources
edge,urbanization,downstream_impoundment
edge,urbanization,channel_alteration
edge,urbanization,watershed_and_riparian devegetation
edge,urbanization,other_non_point_sources
edge,urbanization,historical_sources
edge,urbanization,fire_smoke_and_ash
edge,urbanization,animal_wastes
edge,urbanization,mining_wastes
edge,urbanization,septic_systems
edge,urbanization,landfills
edge,urbanization,applied_fertilizers
edge,urbanization,vehicle_emissions
edge,urbanization,industrial_emissions
edge,urbanization,WWTP_effluent
edge,urbanization,industrial_effluent
edge,urbanization,stormwater_drainage
edge,urbanization,other_point_sources
edge,industry,downstream_impoundment
edge,industry,channel_alteration
edge,industry,watershed_and_riparian devegetation
edge,industry,other_non_point_sources
edge,industry,historical_sources
edge,industry,fire_smoke_and_ash
edge,industry,animal_wastes
edge,industry,mining_wastes
edge,industry,septic_systems
edge,industry,landfills
edge,industry,applied_fertilizers
edge,industry,vehicle_emissions
edge,industry,industrial_emissions
edge,industry,WWTP_effluent
edge,industry,industrial_effluent
edge,industry,stormwater_drainage
edge,industry,other_point_sources
edge,mining_and_resource_extraction,downstream_impoundment
edge,mining_and_resource_extraction,channel_alteration
edge,mining_and_resource_extraction,watershed_and_riparian devegetation
edge,mining_and_resource_extraction,other_non_point_sources
edge,mining_and_resource_extraction,historical_sources
edge,mining_and_resource_extraction,fire_smoke_and_ash
edge,mining_and_resource_extraction,animal_wastes
edge,mining_and_resource_extraction,mining_wastes
edge,mining_and_resource_extraction,septic_systems
edge,mining_and_resource_extraction,landfills
edge,mining_and_resource_extraction,applied_fertilizers
edge,mining_and_resource_extraction,vehicle_emissions
edge,mining_and_resource_extraction,industrial_emissions
edge,mining_and_resource_extraction,WWTP_effluent
edge,mining_and_resource_extraction,industrial_effluent
edge,mining_and_resource_extraction,stormwater_drainage
edge,mining_and_resource_extraction,other_point_sources
edge,forestry_and_silviculture,downstream_impoundment
edge,forestry_and_silviculture,channel_alteration
edge,forestry_and_silviculture,watershed_and_riparian devegetation
edge,forestry_and_silviculture,other_non_point_sources
edge,forestry_and_silviculture,historical_sources
edge,forestry_and_silviculture,fire_smoke_and_ash
edge,forestry_and_silviculture,animal_wastes
edge,forestry_and_silviculture,mining_wastes
edge,forestry_and_silviculture,septic_systems
edge,forestry_and_silviculture,landfills
edge,forestry_and_silviculture,applied_fertilizers
edge,forestry_and_silviculture,vehicle_emissions
edge,forestry_and_silviculture,industrial_emissions
edge,forestry_and_silviculture,WWTP_effluent
edge,forestry_and_silviculture,industrial_effluent
edge,forestry_and_silviculture,stormwater_drainage
edge,forestry_and_silviculture,other_point_sources
edge,downstream_impoundment,decreased_water_velocity
edge,downstream_impoundment,increased_water_depth
edge,channel_alteration,increased_channel_incision
edge,watershed_and_riparian devegetation,decreased_large_woody_debris
edge,watershed_and_riparian devegetation,increased_erosion
edge,watershed_and_riparian devegetation,increased_surface_runoff
edge,watershed_and_riparian devegetation,decreased_permeability
edge,WWTP_effluent,increased_nutrients
edge,WWTP_effluent,increased_chemical_contaminants
edge,WWTP_effluent,increased_organic_loading
edge,industrial_effluent,increased_nutrients
edge,industrial_effluent,increased_chemical_contaminants
edge,industrial_effluent,increased_organic_loading
edge,stormwater_drainage,increased_nutrients
edge,stormwater_drainage,increased_chemical_contaminants
edge,stormwater_drainage,increased_organic_loading
edge,other_point_sources,increased_nutrients
edge,other_point_sources,increased_chemical_contaminants
edge,other_point_sources,increased_organic_loading
edge,geology_and_lithology,increased_nutrients
edge,geology_and_lithology,increased_chemical_contaminants
edge,geology_and_lithology,increased_organic_loading
edge,other_non_point_sources,increased_nutrients
edge,other_non_point_sources,increased_chemical_contaminants
edge,other_non_point_sources,increased_organic_loading
edge,historical_sources,increased_nutrients
edge,historical_sources,increased_chemical_contaminants
edge,historical_sources,increased_organic_loading
edge,fire_smoke_and_ash,increased_nutrients
edge,fire_smoke_and_ash,increased_chemical_contaminants
edge,fire_smoke_and_ash,increased_organic_loading
edge,animal_wastes,increased_nutrients
edge,animal_wastes,increased_chemical_contaminants
edge,animal_wastes,increased_organic_loading
edge,mining_wastes,increased_nutrients
edge,mining_wastes,increased_chemical_contaminants
edge,mining_wastes,increased_organic_loading
edge,septic_systems,increased_nutrients
edge,septic_systems,increased_chemical_contaminants
edge,septic_systems,increased_organic_loading
edge,landfills,increased_nutrients
edge,landfills,increased_chemical_contaminants
edge,landfills,increased_organic_loading
edge,applied_fertilizers,increased_nutrients
edge,applied_fertilizers,increased_chemical_contaminants
edge,applied_fertilizers,increased_organic_loading
edge,vehicle_emissions,increased_nutrients
edge,vehicle_emissions,increased_chemical_contaminants
edge,vehicle_emissions,increased_organic_loading
edge,industrial_emissions,increased_nutrients
edge,industrial_emissions,increased_chemical_contaminants
edge,industrial_emissions,increased_organic_loading
edge,decreased_permeability,increased_surface_runoff
edge,increased_surface_runoff,increased_erosion
edge,increased_surface_runoff,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream
edge,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,increased_nutrients
edge,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,increased_chemical_contaminants
edge,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,increased_organic_loading
edge,increased_erosion,increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream
edge,increased_channel_incision,increased_water_depth
edge,increased_channel_incision,increased_erosion
edge,increased_water_depth,decreased_surface_area_to_volume_ratio
edge,increased_water_depth,decreased_turbulence
edge,decreased_water_velocity__additional_step_in_causal_pathway,decreased_turbulence
edge,decreased_large_woody_debris,decreased_turbulence
edge,altered_flow,increased_substrate_homogenization
edge,sediment,increased_substrate_homogenization
edge,increased_substrate_homogenization,decreased_turbulence
edge,decreased_turbulence,decreased_surface_area_to_volume_ratio
edge,decreased_surface_area_to_volume_ratio,decreased_diffusion
edge,decreased_diffusion,decreased_aeration
edge,decreased_aeration,decreased_dissolved_oxygen__water_or_sediment
edge,increased_chemical_contaminants,increased_chemical_oxygen_demand
edge,increased_organic_loading,increased_microbes
edge,increased_nutrients,increased_primary_producers
edge,increased_nutrients,increased_microbes
edge,increased_nutrients,increased_chemical_oxygen_demand
edge,increased_primary_producers,increased_photosynthesis
edge,increased_primary_producers,increased_autotrophic_respiration
edge,increased_primary_producers,increased_organic_matter_retention
edge,increased_primary_producers,increased_detritus_and_exudates
edge,increased_photosynthesis,increased_oxygen_production
edge,increased_oxygen_production,increased_dissolved_oxygen__water_or_sediment
edge,increased_autotrophic_respiration,increased_biochemical_oxygen_demand
edge,increased_organic_matter_retention,increased_microbes
edge,increased_detritus_and_exudates,increased_microbes
edge,increased_microbes,increased_heterotrophic_respiration
edge,increased_heterotrophic_respiration,increased_biochemical_oxygen_demand
edge,upstream_impoundment,increased_turbulence
edge,upstream_impoundment,decreased_oxygen_in_discharged_waters
