r1,r2,r3
node,agriculture,agriculture
node,urbanization,urbanization
node,industry,industry
node,mining_and_resource_extraction,mining_and_resource_extraction
node,forestry_and_silviculture,forestry_and_silviculture
node,other_point_sources,other_point_sources
node,WWTP_effluent,WWTP_effluent
node,industrial_effluent,industrial_effluent
node,tile_drains,tile_drains
node,stormwater_drainage,stormwater_drainage
node,groundwater_withdrawals,groundwater_withdrawals
node,watershed_devegetation,watershed_devegetation
node,surface_water_withdrawals,surface_water_withdrawals
node,downstream_impoundment,downstream_impoundment
node,upstream_impoundment,upstream_impoundment
node,riparian_devegetation,riparian_devegetation
node,increased_discharge_into_surface_waters,increased_discharge_into_surface_waters
node,increased_overland_transport_efficiency,increased_overland_transport_efficiency
node,decreased_groundwater_inputs,decreased_groundwater_inputs
node,decreased_permeability,decreased_permeability
node,decreased_water_uptake,decreased_water_uptake
node,decreased_infiltration,decreased_infiltration
node,increased_surface_runoff,increased_surface_runoff
node,decreased_surface_water_inputs,decreased_surface_water_inputs
node,increased_discharge_regulation,increased_discharge_regulation
node,decreased_sinuosity,decreased_sinuosity
node,increased_armoring,increased_armoring
node,increased_incision,increased_incision
node,change_in_channel_morphology,change_in_channel_morphology
node,decreased_magnitude_increased_frequency_of_low_discharges,decreased_magnitude_increased_frequency_of_low_discharges
node,increased_magnitude_decreased_frequency_of_low_discharges,increased_magnitude_decreased_frequency_of_low_discharges
node,increased_magnitude_increased_frequency_of_high_discharges,increased_magnitude_increased_frequency_of_high_discharges
node,change_in_discharge_patterns,change_in_discharge_patterns
node,increased_daily_discharge_variability,increased_daily_discharge_variability
node,decreased_magnitude_decreased_frequency_of_high_discharges,decreased_magnitude_decreased_frequency_of_high_discharges
node,decreased_seasonal_discharge_variability,decreased_seasonal_discharge_variability
node,change_in_discharge_pattern_timing_or_sequencing,change_in_discharge_pattern_timing_or_sequencing
node,change_in_discharge_duration,change_in_discharge_duration
node,increased_water_velocity,increased_water_velocity
node,decreased_water_depth,decreased_water_depth
node,change_in_structural_habitat,change_in_structural_habitat
node,increased_water_depth,increased_water_depth
node,decreased_water_velocity,decreased_water_velocity
node,increased_channel_drying,increased_channel_drying
node,decreased_slow_water_habitat,decreased_slow_water_habitat
