r1,r2,r3
node,urban_development,urban_development
node,water_based_recreation,water_based_recreation
node,industry,industry
node,forestry_and_silviculture,forestry_and_silviculture
node,agriculture,agriculture
node,applied_herbicides__water,applied_herbicides__water
node,herbicide_manufacturing_plants,herbicide_manufacturing_plants
node,accidental_or_unpermitted_discharges,accidental_or_unpermitted_discharges
node,storage_tanks,storage_tanks
node,other_industrial_facilities,other_industrial_facilities
node,wastewater_treatment_plants,wastewater_treatment_plants
node,combined_sewer_overflows,combined_sewer_overflows
node,golf_courses,golf_courses
node,lawns_landscaping_and_horticulture,lawns_landscaping_and_horticulture
node,applied_herbicides__land,applied_herbicides__land
node,cropfields,cropfields
node,orchards,orchards
node,irrigation_return_water,irrigation_return_water
node,atmospheric_emissions_transport_and_deposition,atmospheric_emissions_transport_and_deposition
node,direct_effluent_discharges,direct_effluent_discharges
node,leakage_leachate_and_groundwater_transport,leakage_leachate_and_groundwater_transport
node,stormwater_runoff,stormwater_runoff
node,change_in_growth,change_in_growth
node,decreased_amino_acid_production,decreased_amino_acid_production
node,decreased_cell_division,decreased_cell_division
node,decreased_photosynthesis,decreased_photosynthesis
node,decreased_condition,decreased_condition
node,increased_tissue_concentrations,increased_tissue_concentrations
node,decreased_reproduction,decreased_reproduction
node,increased_mortality,increased_mortality
node,increased_invertebrate_drift,increased_invertebrate_drift
node,increased_fish_avoidance,increased_fish_avoidance
node,change_in_behavior,change_in_behavior
node,change_in_other_behaviors,change_in_other_behaviors
node,decreased_plants,decreased_plants
node,decreased_macrophytes,decreased_macrophytes
node,decreased_periphyton,decreased_periphyton
node,decreased_phytoplankton,decreased_phytoplankton
node,change_in_invertebrates_fish_and_amphibians,change_in_invertebrates_fish_and_amphibians
node,change_in_community_structure,change_in_community_structure
node,decreased_richness_or_diversity,decreased_richness_or_diversity
node,increased_tolerant_taxa,increased_tolerant_taxa
node,change_in_functional_feeding_groups,change_in_functional_feeding_groups
node,change_in_other_characteristics,change_in_other_characteristics
node,change_in_ecosystem_processes,change_in_ecosystem_processes
node,increased_episodic_exposures,increased_episodic_exposures
node,change_in_bioavailability_uptake_and_toxicity,change_in_bioavailability_uptake_and_toxicity
node,increased_continuous_exposures,increased_continuous_exposures
node,decreased_habitat,decreased_habitat
node,decreased_food,decreased_food
node,land_cover_alteration,land_cover_alteration
node,precipitation,precipitation
node,timing_and_rate_of_application,timing_and_rate_of_application
node,environmental_persistence,environmental_persistence
node,temperature,temperature
node,pH,pH
node,dissolved_oxygen,dissolved_oxygen
node,increased_herbicides_in_water,increased_herbicides_in_water
node,increased_herbicides_in_sediment,increased_herbicides_in_sediment
node,spray_drift,spray_drift
edge,urban_development,wastewater_treatment_plants
edge,urban_development,lawns_landscaping_and_horticulture
edge,urban_development,combined_sewer_overflows
edge,urban_development,golf_courses
edge,water_based_recreation,applied_herbicides__water
edge,industry,herbicide_manufacturing_plants
edge,industry,other_industrial_facilities
edge,forestry_and_silviculture,applied_herbicides__land
edge,agriculture,cropfields
edge,agriculture,orchards
edge,applied_herbicides__water,increased_herbicides_in_water
edge,herbicide_manufacturing_plants,storage_tanks
edge,herbicide_manufacturing_plants,direct_effluent_discharges
edge,herbicide_manufacturing_plants,leakage_leachate_and_groundwater_transport
edge,herbicide_manufacturing_plants,stormwater_runoff
edge,other_industrial_facilities,storage_tanks
edge,other_industrial_facilities,direct_effluent_discharges
edge,other_industrial_facilities,leakage_leachate_and_groundwater_transport
edge,other_industrial_facilities,stormwater_runoff
edge,accidental_or_unpermitted_discharges,direct_effluent_discharges
edge,accidental_or_unpermitted_discharges,leakage_leachate_and_groundwater_transport
edge,accidental_or_unpermitted_discharges,stormwater_runoff
edge,storage_tanks,leakage_leachate_and_groundwater_transport
edge,storage_tanks,stormwater_runoff
edge,combined_sewer_overflows,leakage_leachate_and_groundwater_transport
edge,combined_sewer_overflows,stormwater_runoff
edge,combined_sewer_overflows,direct_effluent_discharges
edge,golf_courses,applied_herbicides__land
edge,lawns_landscaping_and_horticulture,wastewater_treatment_plants
edge,lawns_landscaping_and_horticulture,applied_herbicides__land
edge,wastewater_treatment_plants,direct_effluent_discharges
edge,wastewater_treatment_plants,leakage_leachate_and_groundwater_transport
edge,wastewater_treatment_plants,stormwater_runoff
edge,cropfields,applied_herbicides__land
edge,cropfields,irrigation_return_water
edge,cropfields,storage_tanks
edge,orchards,applied_herbicides__land
edge,orchards,irrigation_return_water
edge,orchards,storage_tanks
edge,storage_tanks,leakage_leachate_and_groundwater_transport
edge,storage_tanks,stormwater_runoff
edge,irrigation_return_water,leakage_leachate_and_groundwater_transport
edge,irrigation_return_water,stormwater_runoff
edge,applied_herbicides__land,spray_drift
edge,applied_herbicides__land,leakage_leachate_and_groundwater_transport
edge,applied_herbicides__land,stormwater_runoff
edge,spray_drift,atmospheric_emissions_transport_and_deposition
edge,atmospheric_emissions_transport_and_deposition,leakage_leachate_and_groundwater_transport
edge,atmospheric_emissions_transport_and_deposition,stormwater_runoff
edge,direct_effluent_discharges,increased_herbicides_in_water
edge,direct_effluent_discharges,increased_herbicides_in_sediment
edge,land_cover_alteration,leakage_leachate_and_groundwater_transport
edge,land_cover_alteration,stormwater_runoff
edge,precipitation,leakage_leachate_and_groundwater_transport
edge,precipitation,stormwater_runoff
edge,timing_and_rate_of_application,leakage_leachate_and_groundwater_transport
edge,timing_and_rate_of_application,stormwater_runoff
edge,environmental_persistence,leakage_leachate_and_groundwater_transport
edge,environmental_persistence,stormwater_runoff
edge,leakage_leachate_and_groundwater_transport,increased_herbicides_in_water
edge,leakage_leachate_and_groundwater_transport,increased_herbicides_in_sediment
edge,stormwater_runoff,increased_herbicides_in_water
edge,stormwater_runoff,increased_herbicides_in_sediment
