r1,r2,r3
node,agriculture,human_activity
node,urbanization,human_activity
node,industry,human_activity
node,mining_and_resource_extraction,human_activity
node,cropfields,source
node,golf_courses,source
node,lawns,source
node,impervious_surfaces,source
node,asphalt_and_cement_manufacturing_plants,source
node,soap_manufacturing_plants,source
node,applied_fertilizers,source
node,limestone_gravel_roads,source
node,asphalt_roads_and_waste,source
node,other_industrial_facilities,source
node,landfills,source
node,geology_and_lithology,source
node,stormwater_runoff,source
node,leakage_leachate_and_groundwater_transport,source
node,oil_and_gas_brines,source
node,direct_effluent_discharges,source
node,increased_metal_hydroxide_precipitates,mode_of_action
node,increased_armoring_and_smothering,mode_of_action
node,decreased_ionoregulatory_function,mode_of_action
node,decreased_ammonia_excretion,mode_of_action
node,increased_ion_imbalance,mode_of_action
node,decreased_protein_metabolism,mode_of_action
node,change_in_food_availability,mode_of_action
node,decreased_respiratory_function,mode_of_action
node,decreased_olfactory_function,mode_of_action
node,decreased_chemical_cue_detection,mode_of_action
node,increased_gill_hyperplasia,response
node,increased_gill_and_fin_erosion,response
node,increased_organ_damage,response
node,increased_olfactory_damage,response
node,decreased_condition,response
node,decreased_growth,response
node,change_in_behavior,response
node,increased_susceptibility_to_other_stressors,response
node,increased_lesions_and_skin_damage,response
node,increased_other_symptoms,response
node,increased_lethargy,response
node,change_in_other_behaviors,response
node,increased_fungal_infection,response
node,increased_epizootic_ulcerative_syndrome,response
node,increased_mortality,response
node,decreased_reproductive_success,response
node,change_in_population_and_community_structure,response
node,change_in_ecosystem_processes,response
node,decreased_Perciformes,response
node,decreased_sensitive_life_stages,response
node,decreased_other_sensitive_taxa,response
node,decreased_richness_or_diversity,response
node,increased_Cypriniformes,response
node,increased_tolerant_life_stages,response
node,increased_Cladophora,response
node,change_in_other_characteristics,response
node,increased_Microcystis_and_Coccochloris,response
node,increased_other_tolerant_taxa,response
node,mineral_weathering,modifying_factor
node,buffering_capacity,modifying_factor
node,light,modifying_factor
node,increased_hydroxide_ion_inputs,additional_step_in_causal_pathway
node,increased_photosynthesis,additional_step_in_causal_pathway
node,increased_primary_producers,additional_step_in_causal_pathway
node,increased_respiration,additional_step_in_causal_pathway
node,increased_nutrients,interacting_stressor
node,decreased_pH,interacting_stressor
node,increased_other_stressors,interacting_stressor
node,increased_unionized_ammonia,interacting_stressor
node,increased_ionic_strength,interacting_stressor
node,increased_pH,proximate_stressor
node,increased_pH_fluctuation,proximate_stressor
edge,agriculture,cropfields
edge,urbanization,golf_courses
edge,urbanization,lawns
edge,urbanization,impervious_surfaces
edge,industry,asphalt_and_cement_manufacturing_plants
edge,industry,soap_manufacturing_plants
edge,industry,other_industrial_facilities
edge,cropfields,applied_fertilizers
edge,golf_courses,applied_fertilizers
edge,lawns,applied_fertilizers
edge,impervious_surfaces,asphalt_roads_and_waste
edge,impervious_surfaces,limestone_gravel_roads
edge,asphalt_and_cement_manufacturing_plants,asphalt_roads_and_waste
edge,asphalt_and_cement_manufacturing_plants,landfills
edge,asphalt_and_cement_manufacturing_plants,direct_effluent_discharges
edge,other_industrial_facilities,landfills
edge,other_industrial_facilities,direct_effluent_discharges
edge,soap_manufacturing_plants,landfills
edge,soap_manufacturing_plants,direct_effluent_discharges
edge,applied_fertilizers,stormwater_runoff
edge,limestone_gravel_roads,stormwater_runoff
edge,asphalt_roads_and_waste,stormwater_runoff
edge,landfills,leakage_leachate_and_groundwater_transport
edge,geology_and_lithology,leakage_leachate_and_groundwater_transport
edge,mining_and_resource_extraction,oil_and_gas_brines
edge,stormwater_runoff,increased_hydroxide_ion_inputs
edge,mineral_weathering,leakage_leachate_and_groundwater_transport
edge,oil_and_gas_brines,leakage_leachate_and_groundwater_transport
edge,oil_and_gas_brines,direct_effluent_discharges
edge,leakage_leachate_and_groundwater_transport,increased_hydroxide_ion_inputs
edge,direct_effluent_discharges,increased_hydroxide_ion_inputs
edge,increased_hydroxide_ion_inputs,increased_pH
edge,increased_hydroxide_ion_inputs,increased_pH_fluctuation
edge,buffering_capacity,increased_pH
edge,buffering_capacity,increased_pH_fluctuation
edge,increased_nutrients,increased_primary_producers
edge,light,increased_primary_producers
edge,increased_primary_producers,increased_photosynthesis
edge,increased_primary_producers,increased_respiration
edge,increased_pH,increased_unionized_ammonia
edge,increased_pH,increased_ionic_strength
edge,increased_pH,increased_pH_fluctuation
edge,increased_pH,decreased_condition
edge,increased_pH,increased_metal_hydroxide_precipitates
edge,increased_pH,decreased_growth
edge,increased_pH,change_in_behavior
edge,increased_pH,increased_susceptibility_to_other_stressors
edge,increased_pH,decreased_ionoregulatory_function
edge,increased_pH,decreased_ammonia_excretion
edge,increased_pH,change_in_food_availability
edge,increased_photosynthesis,increased_pH
edge,increased_photosynthesis,increased_pH_fluctuation
edge,increased_pH_fluctuation,decreased_condition
edge,increased_pH_fluctuation,increased_metal_hydroxide_precipitates
edge,increased_pH_fluctuation,decreased_growth
edge,increased_pH_fluctuation,change_in_behavior
edge,increased_pH_fluctuation,increased_susceptibility_to_other_stressors
edge,increased_pH_fluctuation,decreased_ionoregulatory_function
edge,increased_pH_fluctuation,decreased_ammonia_excretion
edge,increased_pH_fluctuation,change_in_food_availability
edge,increased_metal_hydroxide_precipitates,increased_armoring_and_smothering
edge,decreased_ammonia_excretion,decreased_ionoregulatory_function
edge,decreased_ammonia_excretion,decreased_protein_metabolism
edge,change_in_food_availability,decreased_condition
edge,change_in_food_availability,decreased_growth
edge,change_in_food_availability,change_in_behavior
edge,change_in_food_availability,increased_susceptibility_to_other_stressors
edge,increased_armoring_and_smothering,decreased_condition
edge,increased_armoring_and_smothering,decreased_growth
edge,increased_armoring_and_smothering,change_in_behavior
edge,increased_armoring_and_smothering,increased_susceptibility_to_other_stressors
edge,decreased_ionoregulatory_function,increased_ion_imbalance
edge,decreased_ionoregulatory_function,decreased_condition
edge,decreased_ionoregulatory_function,decreased_growth
edge,decreased_ionoregulatory_function,change_in_behavior
edge,decreased_ionoregulatory_function,increased_susceptibility_to_other_stressors
edge,increased_ion_imbalance,decreased_condition
edge,increased_ion_imbalance,decreased_growth
edge,increased_ion_imbalance,change_in_behavior
edge,increased_ion_imbalance,increased_susceptibility_to_other_stressors
edge,decreased_protein_metabolism,decreased_condition
edge,decreased_protein_metabolism,decreased_growth
edge,decreased_protein_metabolism,change_in_behavior
edge,decreased_protein_metabolism,increased_susceptibility_to_other_stressors
edge,increased_other_stressors,increased_susceptibility_to_other_stressors
edge,increased_respiration,decreased_pH
edge,decreased_condition,increased_gill_hyperplasia
edge,decreased_condition,increased_gill_and_fin_erosion
edge,decreased_condition,increased_organ_damage
edge,decreased_condition,increased_olfactory_damage
edge,decreased_condition,increased_lesions_and_skin_damage
edge,decreased_condition,increased_other_symptoms
edge,decreased_growth,increased_mortality
edge,decreased_growth,decreased_reproductive_success
edge,change_in_behavior,increased_lethargy
edge,change_in_behavior,change_in_other_behaviors
edge,increased_susceptibility_to_other_stressors,increased_mortality
edge,increased_susceptibility_to_other_stressors,decreased_reproductive_success
edge,increased_gill_hyperplasia,increased_mortality
edge,increased_gill_hyperplasia,decreased_reproductive_success
edge,increased_gill_and_fin_erosion,increased_mortality
edge,increased_gill_and_fin_erosion,decreased_reproductive_success
edge,increased_gill_and_fin_erosion,decreased_respiratory_function
edge,increased_organ_damage,decreased_respiratory_function
edge,increased_olfactory_damage,increased_mortality
edge,increased_olfactory_damage,decreased_reproductive_success
edge,increased_olfactory_damage,decreased_olfactory_function
edge,increased_lesions_and_skin_damage,increased_mortality
edge,increased_lesions_and_skin_damage,decreased_reproductive_success
edge,increased_lesions_and_skin_damage,increased_fungal_infection
edge,increased_other_symptoms,increased_mortality
edge,increased_other_symptoms,decreased_reproductive_success
edge,increased_lethargy,increased_mortality
edge,increased_lethargy,decreased_reproductive_success
edge,change_in_other_behaviors,increased_mortality
edge,change_in_other_behaviors,decreased_reproductive_success
edge,decreased_respiratory_function,increased_mortality
edge,decreased_respiratory_function,decreased_reproductive_success
edge,decreased_olfactory_function,decreased_chemical_cue_detection
edge,decreased_chemical_cue_detection,increased_mortality
edge,decreased_chemical_cue_detection,decreased_reproductive_success
edge,increased_fungal_infection,increased_epizootic_ulcerative_syndrome
edge,increased_epizootic_ulcerative_syndrome,increased_mortality
edge,increased_epizootic_ulcerative_syndrome,decreased_reproductive_success
edge,increased_mortality,change_in_population_and_community_structure
edge,decreased_reproductive_success,change_in_population_and_community_structure
edge,change_in_population_and_community_structure,decreased_Perciformes
edge,change_in_population_and_community_structure,decreased_sensitive_life_stages
edge,change_in_population_and_community_structure,decreased_other_sensitive_taxa
edge,change_in_population_and_community_structure,decreased_richness_or_diversity
edge,change_in_population_and_community_structure,increased_Cypriniformes
edge,change_in_population_and_community_structure,increased_Cladophora
edge,change_in_population_and_community_structure,increased_tolerant_life_stages
edge,change_in_population_and_community_structure,change_in_other_characteristics
edge,change_in_population_and_community_structure,increased_Microcystis_and_Coccochloris
edge,change_in_population_and_community_structure,increased_other_tolerant_taxa
edge,change_in_population_and_community_structure,change_in_ecosystem_processes
