c1,c2
agriculture,AGRICULTURE
urbanization,HI_DENSITY
urbanization,LO_DENSITY
urbanization,MIX_COMM
urbanization,MIX_URBAN
industry,INDUSTRIAL
mining_and_resource_extraction,INDUSTRIAL
forestry_and_silviculture,AGRICULTURE
geology_and_lithology,VACANT
other_non_point_sources,LO_DENSITY
historical_sources,VACANT
animal_wastes,AGRICULTURE
animal_wastes,LO_DENSITY
animal_wastes,VACANT
mining_wastes,INDUSTRIAL
septic_systems,LO_DENSITY
landfills,VACANT
applied_fertilizers,AGRICULTURE
applied_fertilizers,LO_DENSITY
applied_fertilizers,MIX_URBAN
vehicle_emissions,ROADS
vehicle_emissions,TRANSPORT
vehicle_emissions,LO_DENSITY
industrial_emissions,INDUSTRIAL
WWTP_effluent,HI_DENSITY
WWTP_effluent,LO_DENSITY
WWTP_effluent,MIX_COMM
industrial_effluent,INDUSTRIAL
stormwater_drainage,HI_DENSITY
stormwater_drainage,LO_DENSITY
stormwater_drainage,MIX_COMM
stormwater_drainage,MIX_URBAN
other_point_sources,HI_DENSITY
other_point_sources,LO_DENSITY
other_point_sources,MIX_COMM
watershed_and_riparian_devegetation,AGRICULTURE
watershed_and_riparian_devegetation,HI_DENSITY
watershed_and_riparian_devegetation,LO_DENSITY
channel_alteration,ROADS
channel_alteration,TRANSPORT
channel_alteration,UNDER_CONS
downstream_impoundment,AGRICULTURE
downstream_impoundment,HI_DENSITY
downstream_impoundment,LO_DENSITY
increased_channel_incision,ROADS
increased_channel_incision,UNDER_CONS
decreased_permeability,ROADS
decreased_permeability,HI_DENSITY
decreased_permeability,LO_DENSITY
increased_surface_runoff,ROADS
increased_surface_runoff,HI_DENSITY
increased_surface_runoff,LO_DENSITY
increased_erosion,AGRICULTURE
increased_erosion,LO_DENSITY
increased_erosion,UNDER_CONS
increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,AGRICULTURE
increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,HI_DENSITY
increased_delivery_of_chemicals_organic_material_and_nutrients_to_stream,LO_DENSITY
upstream_impoundment,AGRICULTURE
upstream_impoundment,HI_DENSITY
upstream_impoundment,LO_DENSITY
impoundment_size_and_type_of_release,AGRICULTURE
impoundment_size_and_type_of_release,HI_DENSITY
impoundment_size_and_type_of_release,LO_DENSITY
increased_water_depth,WATER
decreased_large_woody_debris,AGRICULTURE
decreased_water_velocity__additional_step_in_causal_pathway,WATER
decreased_turbulence,WATER
increased_substrate_homogenization,WATER
increased_chemical_contaminants,HI_DENSITY
increased_chemical_contaminants,INDUSTRIAL
increased_chemical_contaminants,UNDER_CONS
increased_organic_loading,AGRICULTURE
increased_organic_loading,LO_DENSITY
increased_nutrients,AGRICULTURE
increased_nutrients,LO_DENSITY
decreased_surface_area_to_volume_ratio,WATER
decreased_diffusion,WATER
altered_flow,ROADS
altered_flow,TRANSPORT
altered_flow,UNDER_CONS
sediment,AGRICULTURE
sediment,LO_DENSITY
increased_primary_producers,WATER
increased_turbulence,WATER
increased_detritus_and_exudates,WATER
increased_aeration,WATER
decreased_aeration,WATER
increased_microbes,AGRICULTURE
increased_microbes,LO_DENSITY
increased_organic_matter_retention,WATER
increased_photosynthesis,WATER
increased_heterotrophic_respiration,WATER
increased_autotrophic_respiration,WATER
increased_oxygen_production,WATER
increased_chemical_oxygen_demand,WATER
increased_biochemical_oxygen_demand,WATER
decreased_oxygen_in_discharged_waters,WATER
increased_temperature,WATER
increased_ionic_strength,WATER
increased_sediment,WATER
decreased_oxygen_solubility,WATER
decreased_interstitial_flow,WATER
decreased_dissolved_oxygen__water_or_sediment,WATER
increased_DO_fluctuation__water_or_sediment,WATER
increased_dissolved_oxygen__water_or_sediment,WATER
altered_flow,WATER
decreased_water_velocity__mode_of_action,WATER
decreased_oxygen_delivery,WATER
increased_respiratory_stress,WATER
increased_reduction__decreased_Eh,WATER
change_in_behavior,WATER
increased_oxygen_supersaturation,WATER
increased_oxidation__increased_Eh,WATER
increased_phosphate_solubility,WATER
increased_ventilatory_movements,WATER
increased_gasping_at_water_surface,WATER
change_in_other_behaviors,WATER
increased_metal_solubility,WATER
increased_phosphorus,WATER
increased_mortality,WATER
increased_gas_bubble_trauma,WATER
increased_metals,WATER
change_in_population_and_community_structure,WATER
change_in_ecosystem_processes,WATER
increased_fish_kills,WATER
decreased_sensitive_life_stages,WATER
decreased_sensitive_taxa,WATER
increased_tolerant_taxa,WATER
increased_tolerant_life_stages,WATER
change_in_other_characteristics,WATER
fire_smoke_and_ash,VACANT
