c1,c2
urban_development,HI_DENSITY
urban_development,LO_DENSITY
urban_development,MIX_COMM
urban_development,MIX_URBAN
water_based_recreation,OPNSPC_REC
water_based_recreation,WATER
industry,INDUSTRIAL
industry,OTHER_INDUSTRIAL_FACILITIES
forestry_and_silviculture,AGRICULTURE
agriculture,AGRICULTURE
agriculture,CROPFIELDS
agriculture,ORCHARDS
applied_herbicides__water,AGRICULTURE
applied_herbicides__water,GOLF_COURSES
applied_herbicides__water,LAWNS_LANDSCAPING_AND_HORTICULTURE
herbicide_manufacturing_plants,INDUSTRIAL
herbicide_manufacturing_plants,OTHER_INDUSTRIAL_FACILITIES
accidental_or_unpermitted_discharges,INDUSTRIAL
accidental_or_unpermitted_discharges,OTHER_INDUSTRIAL_FACILITIES
storage_tanks,INDUSTRIAL
storage_tanks,OTHER_INDUSTRIAL_FACILITIES
other_industrial_facilities,INDUSTRIAL
other_industrial_facilities,OTHER_INDUSTRIAL_FACILITIES
wastewater_treatment_plants,INDUSTRIAL
wastewater_treatment_plants,TRANSPORT
combined_sewer_overflows,URBAN_DEVELOPMENT
combined_sewer_overflows,HI_DENSITY
golf_courses,OPNSPC_REC
golf_courses,LAWNS_LANDSCAPING_AND_HORTICULTURE
lawns_landscaping_and_horticulture,LO_DENSITY
lawns_landscaping_and_horticulture,MIX_COMM
applied_herbicides__land,AGRICULTURE
applied_herbicides__land,CROPFIELDS
cropfields,AGRICULTURE
cropfields,LO_DENSITY
orchards,AGRICULTURE
orchards,LO_DENSITY
irrigation_return_water,AGRICULTURE
irrigation_return_water,CROPFIELDS
irrigation_return_water,ORCHARDS
atmospheric_emissions_transport_and_deposition,INDUSTRIAL
atmospheric_emissions_transport_and_deposition,TRANSPORT
direct_effluent_discharges,INDUSTRIAL
direct_effluent_discharges,OTHER_INDUSTRIAL_FACILITIES
leakage_leachate_and_groundwater_transport,INDUSTRIAL
leakage_leachate_and_groundwater_transport,OTHER_INDUSTRIAL_FACILITIES
stormwater_runoff,URBAN_DEVELOPMENT
stormwater_runoff,HI_DENSITY
stormwater_runoff,LO_DENSITY
stormwater_runoff,MIX_COMM
stormwater_runoff,MIX_URBAN
change_in_growth,AGRICULTURE
change_in_growth,HI_DENSITY
change_in_growth,LO_DENSITY
decreased_amino_acid_production,AGRICULTURE
decreased_amino_acid_production,CROPFIELDS
decreased_cell_division,AGRICULTURE
decreased_cell_division,ORCHARDS
decreased_photosynthesis,AGRICULTURE
decreased_photosynthesis,OPNSPC_REC
decreased_condition,AGRICULTURE
decreased_condition,HI_DENSITY
increased_tissue_concentrations,AGRICULTURE
increased_tissue_concentrations,INDUSTRIAL
decreased_reproduction,AGRICULTURE
decreased_reproduction,LO_DENSITY
increased_mortality,AGRICULTURE
increased_mortality,MIX_COMM
increased_invertebrate_drift,WATER
increased_invertebrate_drift,AGRICULTURE
increased_fish_avoidance,WATER
increased_fish_avoidance,AGRICULTURE
change_in_behavior,HI_DENSITY
change_in_behavior,LO_DENSITY
change_in_other_behaviors,HI_DENSITY
change_in_other_behaviors,LO_DENSITY
decreased_plants,AGRICULTURE
decreased_plants,CROPFIELDS
decreased_macrophytes,WATER
decreased_macrophytes,AGRICULTURE
decreased_periphyton,WATER
decreased_periphyton,AGRICULTURE
decreased_phytoplankton,WATER
decreased_phytoplankton,AGRICULTURE
change_in_invertebrates_fish_and_amphibians,WATER
change_in_invertebrates_fish_and_amphibians,AGRICULTURE
change_in_community_structure,AGRICULTURE
change_in_community_structure,INDUSTRIAL
decreased_richness_or_diversity,AGRICULTURE
decreased_richness_or_diversity,WATER
increased_tolerant_taxa,AGRICULTURE
increased_tolerant_taxa,INDUSTRIAL
change_in_functional_feeding_groups,WATER
change_in_functional_feeding_groups,AGRICULTURE
change_in_other_characteristics,WATER
change_in_other_characteristics,AGRICULTURE
change_in_ecosystem_processes,WATER
change_in_ecosystem_processes,AGRICULTURE
increased_episodic_exposures,AGRICULTURE
increased_episodic_exposures,INDUSTRIAL
change_in_bioavailability_uptake_and_toxicity,WATER
change_in_bioavailability_uptake_and_toxicity,AGRICULTURE
increased_continuous_exposures,AGRICULTURE
increased_continuous_exposures,INDUSTRIAL
decreased_habitat,WATER
decreased_habitat,AGRICULTURE
decreased_food,WATER
decreased_food,AGRICULTURE
land_cover_alteration,HI_DENSITY
land_cover_alteration,LO_DENSITY
land_cover_alteration,AGRICULTURE
precipitation,ALL_LANDUSES
timing_and_rate_of_application,AGRICULTURE
timing_and_rate_of_application,INDUSTRIAL
environmental_persistence,WATER
environmental_persistence,AGRICULTURE
temperature,WATER
temperature,ALL_LANDUSES
pH,WATER
pH,ALL_LANDUSES
dissolved_oxygen,WATER
dissolved_oxygen,AGRICULTURE
increased_herbicides_in_water,WATER
increased_herbicides_in_water,AGRICULTURE
increased_herbicides_in_sediment,WATER
increased_herbicides_in_sediment,AGRICULTURE
spray_drift,AGRICULTURE
spray_drift,LAWNS_LANDSCAPING_AND_HORTICULTURE
