c1,c2
agriculture,AGRICULTURE
urbanization,HI_DENSITY
urbanization,LO_DENSITY
urbanization,MIX_COMM
urbanization,MIX_URBAN
urbanization,COMM_SERV
industry,INDUSTRIAL
mining_and_resource_extraction,INDUSTRIAL
cropfields,AGRICULTURE
golf_courses,OPNSPC_REC
lawns,HI_DENSITY
lawns,LO_DENSITY
impervious_surfaces,HI_DENSITY
impervious_surfaces,LO_DENSITY
impervious_surfaces,ROADS
impervious_surfaces,COMM_SERV
impervious_surfaces,INDUSTRIAL
impervious_surfaces,UNDER_CONS
asphalt_and_cement_manufacturing_plants,INDUSTRIAL
soap_manufacturing_plants,INDUSTRIAL
applied_fertilizers,AGRICULTURE
applied_fertilizers,GOLF_COURSES
applied_fertilizers,OPNSPC_REC
limestone_gravel_roads,ROADS
asphalt_roads_and_waste,ROADS
other_industrial_facilities,INDUSTRIAL
landfills,INDUSTRIAL
geology_and_lithology,AGRICULTURE
geology_and_lithology,HI_DENSITY
geology_and_lithology,LO_DENSITY
geology_and_lithology,INDUSTRIAL
stormwater_runoff,AGRICULTURE
stormwater_runoff,HI_DENSITY
stormwater_runoff,LO_DENSITY
stormwater_runoff,MIX_COMM
stormwater_runoff,MIX_URBAN
stormwater_runoff,INDUSTRIAL
leakage_leachate_and_groundwater_transport,LANDFILLS
oil_and_gas_brines,INDUSTRIAL
direct_effluent_discharges,INDUSTRIAL
direct_effluent_discharges,HI_DENSITY
direct_effluent_discharges,LO_DENSITY
direct_effluent_discharges,AGRICULTURE
increased_metal_hydroxide_precipitates,INDUSTRIAL
increased_armoring_and_smothering,INDUSTRIAL
decreased_ionoregulatory_function,INDUSTRIAL
decreased_ammonia_excretion,AGRICULTURE
decreased_ammonia_excretion,INDUSTRIAL
increased_ion_imbalance,INDUSTRIAL
decreased_protein_metabolism,INDUSTRIAL
change_in_food_availability,AGRICULTURE
change_in_food_availability,INDUSTRIAL
decreased_respiratory_function,INDUSTRIAL
decreased_olfactory_function,INDUSTRIAL
decreased_chemical_cue_detection,INDUSTRIAL
increased_gill_hyperplasia,INDUSTRIAL
increased_gill_and_fin_erosion,INDUSTRIAL
increased_organ_damage,INDUSTRIAL
increased_olfactory_damage,INDUSTRIAL
decreased_condition,INDUSTRIAL
decreased_growth,AGRICULTURE
decreased_growth,INDUSTRIAL
change_in_behavior,INDUSTRIAL
increased_susceptibility_to_other_stressors,AGRICULTURE
increased_susceptibility_to_other_stressors,INDUSTRIAL
increased_lesions_and_skin_damage,INDUSTRIAL
increased_other_symptoms,INDUSTRIAL
increased_lethargy,INDUSTRIAL
change_in_other_behaviors,INDUSTRIAL
increased_fungal_infection,INDUSTRIAL
increased_epizootic_ulcerative_syndrome,INDUSTRIAL
increased_mortality,INDUSTRIAL
decreased_reproductive_success,INDUSTRIAL
change_in_population_and_community_structure,AGRICULTURE
change_in_population_and_community_structure,INDUSTRIAL
change_in_ecosystem_processes,AGRICULTURE
change_in_ecosystem_processes,INDUSTRIAL
decreased_Perciformes,INDUSTRIAL
decreased_sensitive_life_stages,AGRICULTURE
decreased_sensitive_life_stages,INDUSTRIAL
decreased_other_sensitive_taxa,AGRICULTURE
decreased_other_sensitive_taxa,INDUSTRIAL
decreased_richness_or_diversity,AGRICULTURE
decreased_richness_or_diversity,INDUSTRIAL
increased_Cypriniformes,AGRICULTURE
increased_Cypriniformes,INDUSTRIAL
increased_tolerant_life_stages,AGRICULTURE
increased_tolerant_life_stages,INDUSTRIAL
increased_Cladophora,AGRICULTURE
increased_Cladophora,INDUSTRIAL
change_in_other_characteristics,AGRICULTURE
change_in_other_characteristics,INDUSTRIAL
increased_Microcystis_and_Coccochloris,AGRICULTURE
increased_Microcystis_and_Coccochloris,INDUSTRIAL
increased_other_tolerant_taxa,AGRICULTURE
increased_other_tolerant_taxa,INDUSTRIAL
mineral_weathering,AGRICULTURE
mineral_weathering,HI_DENSITY
mineral_weathering,LO_DENSITY
mineral_weathering,INDUSTRIAL
buffering_capacity,AGRICULTURE
buffering_capacity,HI_DENSITY
buffering_capacity,LO_DENSITY
buffering_capacity,INDUSTRIAL
light,AGRICULTURE
light,HI_DENSITY
light,LO_DENSITY
light,INDUSTRIAL
increased_hydroxide_ion_inputs,INDUSTRIAL
increased_photosynthesis,AGRICULTURE
increased_photosynthesis,HI_DENSITY
increased_photosynthesis,LO_DENSITY
increased_photosynthesis,INDUSTRIAL
increased_primary_producers,AGRICULTURE
increased_primary_producers,HI_DENSITY
increased_primary_producers,LO_DENSITY
increased_primary_producers,INDUSTRIAL
increased_respiration,AGRICULTURE
increased_respiration,HI_DENSITY
increased_respiration,LO_DENSITY
increased_respiration,INDUSTRIAL
increased_nutrients,AGRICULTURE
increased_nutrients,HI_DENSITY
increased_nutrients,LO_DENSITY
increased_nutrients,INDUSTRIAL
decreased_pH,AGRICULTURE
decreased_pH,HI_DENSITY
decreased_pH,LO_DENSITY
decreased_pH,INDUSTRIAL
increased_other_stressors,AGRICULTURE
increased_other_stressors,HI_DENSITY
increased_other_stressors,LO_DENSITY
increased_other_stressors,INDUSTRIAL
increased_unionized_ammonia,AGRICULTURE
increased_unionized_ammonia,HI_DENSITY
increased_unionized_ammonia,LO_DENSITY
increased_unionized_ammonia,INDUSTRIAL
increased_ionic_strength,AGRICULTURE
increased_ionic_strength,HI_DENSITY
increased_ionic_strength,LO_DENSITY
increased_ionic_strength,INDUSTRIAL
increased_pH,AGRICULTURE
increased_pH,HI_DENSITY
increased_pH,LO_DENSITY
increased_pH,INDUSTRIAL
increased_pH_fluctuation,AGRICULTURE
increased_pH_fluctuation,HI_DENSITY
increased_pH_fluctuation,LO_DENSITY
increased_pH_fluctuation,INDUSTRIAL
