c1,c2
channel_alteration,ROADS
channel_alteration,TRANSPORT
channel_alteration,UNDER_CONS
water_withdrawals,AGRICULTURE
water_withdrawals,INDUSTRIAL
water_withdrawals,TRANSPORT
aquaculture_and_hatcheries,WATER
aquaculture_and_hatcheries,AGRICULTURE
agriculture,AGRICULTURE
agriculture,LO_DENSITY
agriculture,MIX_URBAN
urbanization,HI_DENSITY
urbanization,LO_DENSITY
urbanization,MIX_URBAN
industry,INDUSTRIAL
industry,HI_DENSITY
industry,MIX_URBAN
buried_and_piped_streams,LO_DENSITY
buried_and_piped_streams,HI_DENSITY
buried_and_piped_streams,MIX_URBAN
channelized_and_armored_streams,TRANSPORT
channelized_and_armored_streams,ROADS
channelized_and_armored_streams,INDUSTRIAL
impoundments,TRANSPORT
impoundments,WATER
impoundments,OPNSPC_REC
CAFOs,AGRICULTURE
CAFOs,INDUSTRIAL
livestock_pastures,AGRICULTURE
livestock_pastures,LO_DENSITY
cropfields,AGRICULTURE
golf_courses,OPNSPC_REC
golf_courses,LO_DENSITY
lawns,LO_DENSITY
lawns,HI_DENSITY
impervious_surfaces,HI_DENSITY
impervious_surfaces,LO_DENSITY
impervious_surfaces,MIX_URBAN
sewer_lines,COMM_SERV
sewer_lines,LO_DENSITY
sewer_lines,HI_DENSITY
septic_systems,LO_DENSITY
septic_systems,HI_DENSITY
septic_systems,COMM_SERV
residential_municipal_and_commercial_facilities,MIX_COMM
residential_municipal_and_commercial_facilities,HI_DENSITY
residential_municipal_and_commercial_facilities,LO_DENSITY
CSOs,COMM_SERV
CSOs,HI_DENSITY
CSOs,TRANSPORT
wastewater_treatment_plants,COMM_SERV
wastewater_treatment_plants,INDUSTRIAL
vehicles,ROADS
vehicles,TRANSPORT
vehicles,INDUSTRIAL
food_processing_plants,INDUSTRIAL
food_processing_plants,AGRICULTURE
pharmaceutical_plants,INDUSTRIAL
coal_fired_power_plants,INDUSTRIAL
other_industrial_facilities,INDUSTRIAL
other_industrial_facilities,MIX_URBAN
applied_fertilizers,AGRICULTURE
applied_fertilizers,LO_DENSITY
landfills,UNDER_CONS
landfills,INDUSTRIAL
animal_wastes,AGRICULTURE
animal_wastes,LO_DENSITY
atmospheric_emissions_transport_and_deposition,INDUSTRIAL
atmospheric_emissions_transport_and_deposition,TRANSPORT
atmospheric_emissions_transport_and_deposition,MIX_URBAN
direct_effluent_discharges,WATER
direct_effluent_discharges,INDUSTRIAL
stormwater_runoff,HI_DENSITY
stormwater_runoff,ROADS
stormwater_runoff,MIX_URBAN
leakage_leachate_and_groundwater_transport,VACANT
leakage_leachate_and_groundwater_transport,UNDER_CONS
