c1,c2
agriculture,AGRICULTURE
urbanization,COMM_SERV
urbanization,HI_DENSITY
urbanization,LO_DENSITY
urbanization,MIX_COMM
urbanization,MIX_URBAN
urbanization,OPNSPC_REC
urbanization,ROADS
urbanization,SCHOOLS
urbanization,TRANSPORT
urbanization,UNDER_CONS
urbanization,VACANT
urbanization,WATER
industry,INDUSTRIAL
mining_and_resource_extraction,AGRICULTURE
forestry_and_silviculture,AGRICULTURE
other_point_sources,COMM_SERV
other_point_sources,INDUSTRIAL
other_point_sources,MIX_COMM
other_point_sources,MIX_URBAN
other_point_sources,ROADS
other_point_sources,TRANSPORT
WWTP_effluent,COMM_SERV
WWTP_effluent,INDUSTRIAL
WWTP_effluent,MIX_COMM
WWTP_effluent,MIX_URBAN
WWTP_effluent,ROADS
WWTP_effluent,TRANSPORT
industrial_effluent,INDUSTRIAL
tile_drains,AGRICULTURE
stormwater_drainage,COMM_SERV
stormwater_drainage,HI_DENSITY
stormwater_drainage,LO_DENSITY
stormwater_drainage,MIX_COMM
stormwater_drainage,MIX_URBAN
stormwater_drainage,OPNSPC_REC
stormwater_drainage,ROADS
stormwater_drainage,SCHOOLS
stormwater_drainage,TRANSPORT
stormwater_drainage,UNDER_CONS
stormwater_drainage,VACANT
stormwater_drainage,WATER
groundwater_withdrawals,AGRICULTURE
groundwater_withdrawals,INDUSTRIAL
groundwater_withdrawals,MIX_COMM
groundwater_withdrawals,ROADS
watershed_devegetation,AGRICULTURE
watershed_devegetation,LO_DENSITY
watershed_devegetation,UNDER_CONS
surface_water_withdrawals,AGRICULTURE
surface_water_withdrawals,INDUSTRIAL
downstream_impoundment,AGRICULTURE
downstream_impoundment,INDUSTRIAL
upstream_impoundment,AGRICULTURE
upstream_impoundment,INDUSTRIAL
riparian_devegetation,AGRICULTURE
riparian_devegetation,LO_DENSITY
riparian_devegetation,UNDER_CONS
increased_discharge_into_surface_waters,AGRICULTURE
increased_discharge_into_surface_waters,INDUSTRIAL
increased_discharge_into_surface_waters,MIX_COMM
increased_discharge_into_surface_waters,ROADS
increased_discharge_into_surface_waters,TRANSPORT
increased_overland_transport_efficiency,AGRICULTURE
increased_overland_transport_efficiency,INDUSTRIAL
decreased_groundwater_inputs,AGRICULTURE
decreased_groundwater_inputs,LO_DENSITY
decreased_groundwater_inputs,UNDER_CONS
decreased_permeability,COMM_SERV
decreased_permeability,HI_DENSITY
decreased_permeability,LO_DENSITY
decreased_permeability,MIX_COMM
decreased_permeability,MIX_URBAN
decreased_permeability,OPNSPC_REC
decreased_permeability,ROADS
decreased_permeability,SCHOOLS
decreased_permeability,TRANSPORT
decreased_permeability,UNDER_CONS
decreased_permeability,VACANT
decreased_permeability,WATER
decreased_water_uptake,AGRICULTURE
decreased_infiltration,AGRICULTURE
decreased_infiltration,COMM_SERV
decreased_infiltration,HI_DENSITY
decreased_infiltration,LO_DENSITY
decreased_infiltration,MIX_COMM
decreased_infiltration,MIX_URBAN
decreased_infiltration,OPNSPC_REC
decreased_infiltration,ROADS
decreased_infiltration,SCHOOLS
decreased_infiltration,TRANSPORT
decreased_infiltration,UNDER_CONS
decreased_infiltration,VACANT
decreased_infiltration,WATER
increased_surface_runoff,AGRICULTURE
increased_surface_runoff,COMM_SERV
increased_surface_runoff,HI_DENSITY
increased_surface_runoff,LO_DENSITY
increased_surface_runoff,MIX_COMM
increased_surface_runoff,MIX_URBAN
increased_surface_runoff,OPNSPC_REC
increased_surface_runoff,ROADS
increased_surface_runoff,SCHOOLS
increased_surface_runoff,TRANSPORT
increased_surface_runoff,UNDER_CONS
increased_surface_runoff,VACANT
increased_surface_runoff,WATER
decreased_surface_water_inputs,AGRICULTURE
decreased_surface_water_inputs,LO_DENSITY
decreased_surface_water_inputs,UNDER_CONS
increased_discharge_regulation,AGRICULTURE
increased_discharge_regulation,INDUSTRIAL
decreased_sinuosity,AGRICULTURE
decreased_sinuosity,LO_DENSITY
decreased_sinuosity,UNDER_CONS
increased_armoring,COMM_SERV
increased_armoring,HI_DENSITY
increased_armoring,LO_DENSITY
increased_armoring,MIX_COMM
increased_armoring,MIX_URBAN
increased_armoring,OPNSPC_REC
increased_armoring,ROADS
increased_armoring,SCHOOLS
increased_armoring,TRANSPORT
increased_armoring,UNDER_CONS
increased_armoring,VACANT
increased_armoring,WATER
increased_incision,AGRICULTURE
change_in_channel_morphology,AGRICULTURE
decreased_magnitude_increased_frequency_of_low_discharges,AGRICULTURE
increased_magnitude_decreased_frequency_of_low_discharges,AGRICULTURE
increased_magnitude_increased_frequency_of_high_discharges,AGRICULTURE
change_in_discharge_patterns,AGRICULTURE
increased_daily_discharge_variability,AGRICULTURE
decreased_magnitude_decreased_frequency_of_high_discharges,AGRICULTURE
decreased_seasonal_discharge_variability,AGRICULTURE
change_in_discharge_pattern_timing_or_sequencing,AGRICULTURE
change_in_discharge_duration,AGRICULTURE
increased_water_velocity,AGRICULTURE
increased_water_velocity,INDUSTRIAL
decreased_water_depth,AGRICULTURE
change_in_structural_habitat,AGRICULTURE
increased_water_depth,AGRICULTURE
decreased_water_velocity,AGRICULTURE
increased_channel_drying,AGRICULTURE
decreased_slow_water_habitat,AGRICULTURE
increased_scouring_and_displacement,AGRICULTURE
increased_stranding,AGRICULTURE
decreased_floodplain_inundation,AGRICULTURE
decreased_scouring_and_displacement,AGRICULTURE
change_in_life_cycle_cues,AGRICULTURE
decreased_wetted_channel_area,AGRICULTURE
decreased_water_column_habitat,AGRICULTURE
increased_water_column_habitat,AGRICULTURE
increased_drought_tolerant_taxa,AGRICULTURE
decreased_drought_tolerant_taxa,AGRICULTURE
decreased_benthic_taxa_or_life_stages,AGRICULTURE
decreased_floodplain_dependent_taxa_or_life_stages,AGRICULTURE
increased_non_native_taxa,AGRICULTURE
decreased_EPT_taxa,AGRICULTURE
decreased_invertebrate_richness_or_diversity,AGRICULTURE
decreased_plant_richness_or_diversity,AGRICULTURE
decreased_fish_richness_or_diversity,AGRICULTURE
increased_other_impairments,AGRICULTURE
decreased_macrophytes,AGRICULTURE
increased_bryophytes,AGRICULTURE
decreased_water_column_taxa,AGRICULTURE
increased_water_column_taxa,AGRICULTURE
increased_lentic_taxa,AGRICULTURE
increased_macrophytes,AGRICULTURE
channel_alteration,AGRICULTURE
channel_alteration,COMM_SERV
channel_alteration,HI_DENSITY
channel_alteration,INDUSTRIAL
channel_alteration,LO_DENSITY
channel_alteration,MIX_COMM
channel_alteration,MIX_URBAN
channel_alteration,OPNSPC_REC
channel_alteration,ROADS
channel_alteration,SCHOOLS
channel_alteration,TRANSPORT
channel_alteration,UNDER_CONS
channel_alteration,VACANT
channel_alteration,WATER
change_in_physical_habitat,AGRICULTURE
change_in_physical_habitat,COMM_SERV
change_in_physical_habitat,HI_DENSITY
change_in_physical_habitat,INDUSTRIAL
change_in_physical_habitat,LO_DENSITY
change_in_physical_habitat,MIX_COMM
change_in_physical_habitat,MIX_URBAN
change_in_physical_habitat,OPNSPC_REC
change_in_physical_habitat,ROADS
change_in_physical_habitat,SCHOOLS
change_in_physical_habitat,TRANSPORT
change_in_physical_habitat,UNDER_CONS
change_in_physical_habitat,VACANT
change_in_physical_habitat,WATER
other_stressors,AGRICULTURE
other_stressors,COMM_SERV
other_stressors,HI_DENSITY
other_stressors,INDUSTRIAL
other_stressors,LO_DENSITY
other_stressors,MIX_COMM
other_stressors,MIX_URBAN
other_stressors,OPNSPC_REC
other_stressors,ROADS
other_stressors,SCHOOLS
other_stressors,TRANSPORT
other_stressors,UNDER_CONS
other_stressors,VACANT
other_stressors,WATER
